"Water Body","Calcium (Ca) (mg/L)","Magnesium (Mg) (mg/L)","Sodium (Na) (mg/L)","Potassium (K) (mg/L)","Chloride (Cl) (mg/L)","Sulfate (SO?) (mg/L)","Nitrate (NO?) (mg/L)","Bicarbonate (HCO?) (mg/L)","Iron (Fe) (mg/L)","TDS (mg/L)","Microplastics (Post-filtration) (particles/L)",
"River Water","40","10","15","3","25","20","5","100","0.3","250","2",
"Ocean Water","400","1350","11000","400","19000","2700","0.5","150","0.1","35000","8",
"Groundwater","80","25","20","2","30","15","3","220","0.5","500","1",
"Lake Water","50","15","18","3","22","18","4","140","0.4","300","2.5",
"Wetland Water","45","12","14","2.5","20","22","6","130","0.6","270","3.2",
"Pond Water","60","18","17","3","28","19","5.5","150","0.5","320","2.8",
"Brackish Water","150","35","4500","90","5000","1100","2","170","0.2","10000","5.5",
"Estuary Water","100","30","3500","75","4200","950","2.2","160","0.3","8500","4.7",
"Reservoir Water","55","20","25","3.2","27","16","4.8","180","0.4","280","1.5",
"Swamp Water","48","14","19","2.7","23","21","6.1","145","0.7","290","3.8",
"Desalinated Water","5","2","8","1","10","3","0.2","25","0.01","50","0.5",
"Rainwater","1","0.5","2","0.5","1","0.2","0.1","10","0.02","30","0.8",
"Glacier Meltwater","2","1","1.5","0.3","2","0.5","0.1","12","0.01","40","0.3",
"Iceberg Meltwater","2.5","1","1.8","0.2","2.5","0.4","0.1","14","0.01","42","0.4",
"Arctic Water","4","1.2","2","0.4","5","0.6","0.2","16","0.03","45","1.1",
"Antarctic Water","3.5","1","2","0.3","4","0.5","0.2","15","0.02","43","0.9",
"Deep Sea Water","6","2","12000","200","18000","2500","0.3","100","0.05","36000","7.5",
"Thermal Spring Water","80","35","40","4","30","20","3","200","0.7","600","2.5",
"Hot Spring Water","70","30","35","3.5","28","18","2.5","190","0.6","580","2.2",
"Mineral Water","90","25","30","2","22","15","2","210","0.4","550","1.8",
"Artesian Water","60","20","25","3","20","10","1.5","180","0.3","480","1.2",
"Well Water","55","18","22","2.5","18","9","1.2","170","0.4","460","1.4",
"Spring Water","50","15","20","2","15","8","1","160","0.3","440","1.1",
"Flood Water","40","14","45","5","50","30","5","140","0.6","500","3.5",
"Urban Runoff","35","12","60","6","70","35","8","130","0.7","520","4.2",
"Agricultural Runoff","30","10","40","4.5","65","40","12","120","0.5","510","5.0",
"Industrial Wastewater","25","8","80","7","90","50","15","100","1.0","580","6.8",
"Domestic Wastewater","20","7","55","5","60","45","10","90","0.8","540","5.5",
"Sewage Water","18","6","70","6.5","100","60","20","80","1.2","600","7.2",
"Treated Wastewater","22","9","50","4","40","25","5","95","0.4","490","2.7",
"Gray Water","25","10","55","4","45","30","6","110","0.5","500","4.0",
